Category,Item,Quantity,Unit Price,Total,Unit of Measure
Materials,Concrete C25/30,10.5,2500.00,26250.00,m³
Materials,Steel reinforcement bars,2500,1.85,4625.00,kg
Materials,Bricks,5000,0.75,3750.00,pcs
Labor,Concrete pouring,8,850.00,6800.00,hours
Labor,Steel fixing,16,750.00,12000.00,hours
Labor,Brickwork,24,650.00,15600.00,hours
Equipment,Concrete mixer rental,3,1200.00,3600.00,days
Equipment,Crane rental,2,2500.00,5000.00,days
Overhead,Site management,40,500.00,20000.00,hours
Overhead,Safety equipment,1,5000.00,5000.00,lot
